"Operation";"Channel";"Language";"Translation";"DateFormat";"TimeFormat";"DateTimeLocale";
LOAN_REPAYMENT_FAILED;EMAIL;en;Your repayment of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_FAILED;SMS;en;Your repayment of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_FAILED;XML;en;Your repayment of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_FAILED;EMAIL;fr;Votre remboursement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_FAILED;SMS;fr;Votre remboursement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_FAILED;XML;fr;Votre remboursement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;

LOAN_REPAYMENT_SUCCESSFUL;EMAIL;en;Your repayment of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_SUCCESSFUL;SMS;en;Your repayment of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_SUCCESSFUL;XML;en;Your repayment of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_SUCCESSFUL;EMAIL;fr;Votre remboursement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME}  a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_SUCCESSFUL;SMS;fr;Votre remboursement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME}  a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_REPAYMENT_SUCCESSFUL;XML;fr;Votre remboursement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME}  a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;

PROVIDER_INITIATED_LOAN_REPAYMENT_FAILED;EMAIL;en;Repayment of {AMOUNT} FCFA initiated by {LOAN_PROVIDER_NAME} for loan id {LOAN_ID} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_FAILED;SMS;en;Repayment of {AMOUNT} FCFA initiated by {LOAN_PROVIDER_NAME} for loan id {LOAN_ID} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_FAILED;XML;en;Repayment of {AMOUNT} FCFA initiated by {LOAN_PROVIDER_NAME} for loan id {LOAN_ID} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_FAILED;EMAIL;fr;Le remboursement de {AMOUNT} FCFA initie par {LOAN_PROVIDER_NAME} pour le pret {LOAN_ID} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_FAILED;SMS;fr;Le remboursement de {AMOUNT} FCFA initie par {LOAN_PROVIDER_NAME} pour le pret {LOAN_ID} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_FAILED;XML;fr;Le remboursement de {AMOUNT} FCFA initie par {LOAN_PROVIDER_NAME} pour le pret {LOAN_ID} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;

PROVIDER_INITIATED_LOAN_REPAYMENT_SUCCESSFUL;EMAIL;en;Repayment of {AMOUNT} FCFA initiated by {LOAN_PROVIDER_NAME} for loan id {LOAN_ID} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_SUCCESSFUL;SMS;en;Repayment of {AMOUNT} FCFA initiated by {LOAN_PROVIDER_NAME} for loan id {LOAN_ID} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_SUCCESSFUL;XML;en;Repayment of {AMOUNT} FCFA initiated by {LOAN_PROVIDER_NAME} for loan id {LOAN_ID} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_SUCCESSFUL;EMAIL;fr;Le remboursement de {AMOUNT} FCFA initie par {LOAN_PROVIDER_NAME} pour le pret {LOAN_ID} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
PROVIDER_INITIATED_LOAN_REPAYMENT_SUCCESSFUL;SMS;fr;Le remboursement de {AMOUNT} FCFA initie par {LOAN_PROVIDER_NAME} pour le pret {LOAN_ID} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
